,Year,Police Region,Local Government Area,Total Population
340,2016,4 Western,Greater Bendigo,112266
341,2016,3 Southern Metro,Greater Dandenong,160221
342,2016,4 Western,Greater Geelong,239528
343,2016,2 Eastern,Greater Shepparton,65071
344,2016,4 Western,Hepburn,15524
345,2016,4 Western,Hindmarsh,5783
346,2016,1 North West Metro,Hobsons Bay,93444
347,2016,4 Western,Horsham,19883
348,2016,1 North West Metro,Hume,207040
349,2016,2 Eastern,Indigo,16164
350,2016,3 Southern Metro,Kingston,158940
351,2016,2 Eastern,Knox,160352
352,2016,2 Eastern,Latrobe,74621
353,2016,4 Western,Loddon,7557
354,2016,4 Western,Macedon Ranges,47479
355,2016,2 Eastern,Manningham,122569
356,2016,2 Eastern,Mansfield,8673
357,2016,1 North West Metro,Maribyrnong,86941
358,2016,2 Eastern,Maroondah,114799
359,2016,1 North West Metro,Melbourne,146095
360,2016,1 North West Metro,Melton,141419
361,2016,4 Western,Mildura,54657
362,2016,2 Eastern,Mitchell,41794
363,2016,2 Eastern,Moira,29485
364,2016,2 Eastern,Monash,192624
365,2016,1 North West Metro,Moonee Valley,122870
366,2016,4 Western,Moorabool,32671
367,2016,1 North West Metro,Moreland,172293
368,2016,3 Southern Metro,Mornington Peninsula,161527
369,2016,4 Western,Mount Alexander,19096
370,2016,4 Western,Moyne,16736
371,2016,2 Eastern,Murrindindi,14051
372,2016,1 North West Metro,Nillumbik,64173
373,2016,4 Western,Northern Grampians,11569
374,2016,3 Southern Metro,Port Phillip,108626
375,2016,4 Western,Pyrenees,7315
376,2016,4 Western,Queenscliffe,2928
377,2016,2 Eastern,South Gippsland,29121
378,2016,4 Western,Southern Grampians,16122
379,2016,3 Southern Metro,Stonnington,111002
380,2016,2 Eastern,Strathbogie,10356
381,2016,4 Western,Surf Coast,30464
382,2016,4 Western,Swan Hill,20895
383,2016,2 Eastern,Towong,6045
384,2016,2 Eastern,Wangaratta,28591
385,2016,4 Western,Warrnambool,34241
386,2016,2 Eastern,Wellington,43529
387,2016,4 Western,West Wimmera,3936
388,2016,2 Eastern,Whitehorse,169640
389,2016,1 North West Metro,Whittlesea,207057
390,2016,2 Eastern,Wodonga,40099
391,2016,1 North West Metro,Wyndham,227007
392,2016,1 North West Metro,Yarra,92893
393,2016,2 Eastern,Yarra Ranges,155225
394,2016,4 Western,Yarriambiack,6742
395,2017,2 Eastern,Alpine,12637
396,2017,4 Western,Ararat,11755
397,2017,4 Western,Ballarat,105421
398,2017,1 North West Metro,Banyule,129114
399,2017,2 Eastern,Bass Coast,34385
400,2017,2 Eastern,Baw Baw,50675
401,2017,3 Southern Metro,Bayside,104281
402,2017,2 Eastern,Benalla,13973
403,2017,2 Eastern,Boroondara,179676
404,2017,1 North West Metro,Brimbank,206996
405,2017,4 Western,Buloke,6204
406,2017,4 Western,Campaspe,37596
407,2017,3 Southern Metro,Cardinia,102402
408,2017,3 Southern Metro,Casey,326770
409,2017,4 Western,Central Goldfields,13147
410,2017,4 Western,Colac-Otway,21429
411,2017,4 Western,Corangamite,16209
412,2017,1 North West Metro,Darebin,158750
413,2017,2 Eastern,East Gippsland,46135
414,2017,3 Southern Metro,Frankston,140717
415,2017,4 Western,Gannawarra,10568
416,2017,3 Southern Metro,Glen Eira,151456
417,2017,4 Western,Glenelg,19691
418,2017,4 Western,Golden Plains,22567
419,2017,4 Western,Greater Bendigo,114090
420,2017,3 Southern Metro,Greater Dandenong,163517
421,2017,4 Western,Greater Geelong,245727
422,2017,2 Eastern,Greater Shepparton,65553
423,2017,4 Western,Hepburn,15628
424,2017,4 Western,Hindmarsh,5717
425,2017,1 North West Metro,Hobsons Bay,95070
426,2017,4 Western,Horsham,19884
427,2017,1 North West Metro,Hume,215237
428,2017,2 Eastern,Indigo,16332
429,2017,3 Southern Metro,Kingston,161050
430,2017,2 Eastern,Knox,161826
431,2017,2 Eastern,Latrobe,74907
432,2017,4 Western,Loddon,7506
433,2017,4 Western,Macedon Ranges,48421
434,2017,2 Eastern,Manningham,124269
435,2017,2 Eastern,Mansfield,8795
436,2017,1 North West Metro,Maribyrnong,89361
437,2017,2 Eastern,Maroondah,116320
438,2017,1 North West Metro,Melbourne,159140
439,2017,1 North West Metro,Melton,148617
440,2017,4 Western,Mildura,55141
441,2017,2 Eastern,Mitchell,42902
442,2017,2 Eastern,Moira,29651
443,2017,2 Eastern,Monash,196921
444,2017,1 North West Metro,Moonee Valley,125410
445,2017,4 Western,Moorabool,33441
446,2017,1 North West Metro,Moreland,176973
447,2017,3 Southern Metro,Mornington Peninsula,163833
448,2017,4 Western,Mount Alexander,19296
449,2017,4 Western,Moyne,16792
450,2017,2 Eastern,Murrindindi,14233
451,2017,1 North West Metro,Nillumbik,64617
452,2017,4 Western,Northern Grampians,11516
453,2017,3 Southern Metro,Port Phillip,110655
454,2017,4 Western,Pyrenees,7357
455,2017,4 Western,Queenscliffe,2958
456,2017,2 Eastern,South Gippsland,29320
457,2017,4 Western,Southern Grampians,16122
458,2017,3 Southern Metro,Stonnington,113771
459,2017,2 Eastern,Strathbogie,10483
460,2017,4 Western,Surf Coast,31346
461,2017,4 Western,Swan Hill,20846
462,2017,2 Eastern,Towong,6038
463,2017,2 Eastern,Wangaratta,28852
464,2017,4 Western,Warrnambool,34568
465,2017,2 Eastern,Wellington,43800
466,2017,4 Western,West Wimmera,3893
467,2017,2 Eastern,Whitehorse,173262
468,2017,1 North West Metro,Whittlesea,215685
469,2017,2 Eastern,Wodonga,40811
470,2017,1 North West Metro,Wyndham,241070
471,2017,1 North West Metro,Yarra,95993
472,2017,2 Eastern,Yarra Ranges,156868
473,2017,4 Western,Yarriambiack,6683
474,2018,2 Eastern,Alpine,12729
475,2018,4 Western,Ararat,11794
476,2018,4 Western,Ballarat,107323
477,2018,1 North West Metro,Banyule,130249
478,2018,2 Eastern,Bass Coast,35325
479,2018,2 Eastern,Baw Baw,52011
480,2018,3 Southern Metro,Bayside,105744
481,2018,2 Eastern,Benalla,14022
482,2018,2 Eastern,Boroondara,181375
483,2018,1 North West Metro,Brimbank,208743
484,2018,4 Western,Buloke,6182
485,2018,4 Western,Campaspe,37589
486,2018,3 Southern Metro,Cardinia,107116
487,2018,3 Southern Metro,Casey,340442
488,2018,4 Western,Central Goldfields,13207
489,2018,4 Western,Colac-Otway,21501
490,2018,4 Western,Corangamite,16138
491,2018,1 North West Metro,Darebin,161652
492,2018,2 Eastern,East Gippsland,46815
493,2018,3 Southern Metro,Frankston,141846
494,2018,4 Western,Gannawarra,10545
495,2018,3 Southern Metro,Glen Eira,153919
496,2018,4 Western,Glenelg,19663
497,2018,4 Western,Golden Plains,23117
498,2018,4 Western,Greater Bendigo,116040
499,2018,3 Southern Metro,Greater Dandenong,166139
500,2018,4 Western,Greater Geelong,252228
501,2018,2 Eastern,Greater Shepparton,66007
502,2018,4 Western,Hepburn,15811
503,2018,4 Western,Hindmarsh,5643
504,2018,1 North West Metro,Hobsons Bay,96480
505,2018,4 Western,Horsham,19873
506,2018,1 North West Metro,Hume,224422
507,2018,2 Eastern,Indigo,16488
508,2018,3 Southern Metro,Kingston,163451
509,2018,2 Eastern,Knox,163211
510,2018,2 Eastern,Latrobe,75208
511,2018,4 Western,Loddon,7512
512,2018,4 Western,Macedon Ranges,49386
513,2018,2 Eastern,Manningham,125534
514,2018,2 Eastern,Mansfield,8978
515,2018,1 North West Metro,Maribyrnong,91412
516,2018,2 Eastern,Maroondah,117504
517,2018,1 North West Metro,Melbourne,170316
518,2018,1 North West Metro,Melton,156717
519,2018,4 Western,Mildura,55515
520,2018,2 Eastern,Mitchell,44297
521,2018,2 Eastern,Moira,29796
522,2018,2 Eastern,Monash,200211
523,2018,1 North West Metro,Moonee Valley,127905
524,2018,4 Western,Moorabool,34155
525,2018,1 North West Metro,Moreland,181779
526,2018,3 Southern Metro,Mornington Peninsula,165822
527,2018,4 Western,Mount Alexander,19513
528,2018,4 Western,Moyne,16886
529,2018,2 Eastern,Murrindindi,14477
530,2018,1 North West Metro,Nillumbik,64940
531,2018,4 Western,Northern Grampians,11429
532,2018,3 Southern Metro,Port Phillip,113264
533,2018,4 Western,Pyrenees,7352
534,2018,4 Western,Queenscliffe,2981
535,2018,2 Eastern,South Gippsland,29574
536,2018,4 Western,Southern Grampians,16133
537,2018,3 Southern Metro,Stonnington,116280
538,2018,2 Eastern,Strathbogie,10643
539,2018,4 Western,Surf Coast,32251
540,2018,4 Western,Swan Hill,20759
541,2018,2 Eastern,Towong,6053
542,2018,2 Eastern,Wangaratta,29085
543,2018,4 Western,Warrnambool,34862
544,2018,2 Eastern,Wellington,44016
545,2018,4 Western,West Wimmera,3861
546,2018,2 Eastern,Whitehorse,176272
547,2018,1 North West Metro,Whittlesea,223346
548,2018,2 Eastern,Wodonga,41428
549,2018,1 North West Metro,Wyndham,255366
550,2018,1 North West Metro,Yarra,98566
551,2018,2 Eastern,Yarra Ranges,158170
552,2018,4 Western,Yarriambiack,6657
553,2019,2 Eastern,Alpine,12811
554,2019,4 Western,Ararat,11843
555,2019,4 Western,Ballarat,109503
556,2019,1 North West Metro,Banyule,131639
557,2019,2 Eastern,Bass Coast,36314
558,2019,2 Eastern,Baw Baw,53393
559,2019,3 Southern Metro,Bayside,106855
560,2019,2 Eastern,Benalla,14033
561,2019,2 Eastern,Boroondara,183196
562,2019,1 North West Metro,Brimbank,209567
563,2019,4 Western,Buloke,6122
564,2019,4 Western,Campaspe,37614
565,2019,3 Southern Metro,Cardinia,112178
566,2019,3 Southern Metro,Casey,353961
567,2019,4 Western,Central Goldfields,13181
568,2019,4 Western,Colac-Otway,21561
569,2019,4 Western,Corangamite,16016
570,2019,1 North West Metro,Darebin,164223
571,2019,2 Eastern,East Gippsland,47307
572,2019,3 Southern Metro,Frankston,142644
573,2019,4 Western,Gannawarra,10468
574,2019,3 Southern Metro,Glen Eira,156534
575,2019,4 Western,Glenelg,19670
576,2019,4 Western,Golden Plains,23721
577,2019,4 Western,Greater Bendigo,118090
578,2019,3 Southern Metro,Greater Dandenong,168260
579,2019,4 Western,Greater Geelong,258937
580,2019,2 Eastern,Greater Shepparton,66500
581,2019,4 Western,Hepburn,15972
582,2019,4 Western,Hindmarsh,5585
583,2019,1 North West Metro,Hobsons Bay,97764
584,2019,4 Western,Horsham,19919
585,2019,1 North West Metro,Hume,233544
586,2019,2 Eastern,Indigo,16698
587,2019,3 Southern Metro,Kingston,165803
588,2019,2 Eastern,Knox,164552
589,2019,2 Eastern,Latrobe,75552
590,2019,4 Western,Loddon,7501
591,2019,4 Western,Macedon Ranges,50229
592,2019,2 Eastern,Manningham,127584
593,2019,2 Eastern,Mansfield,9174
594,2019,1 North West Metro,Maribyrnong,93481
595,2019,2 Eastern,Maroondah,118568
596,2019,1 North West Metro,Melbourne,178993
597,2019,1 North West Metro,Melton,164935
598,2019,4 Western,Mildura,55778
599,2019,2 Eastern,Mitchell,46086
600,2019,2 Eastern,Moira,29919
601,2019,2 Eastern,Monash,202895
602,2019,1 North West Metro,Moonee Valley,130312
603,2019,4 Western,Moorabool,35050
604,2019,1 North West Metro,Moreland,185810
605,2019,3 Southern Metro,Mornington Peninsula,167618
606,2019,4 Western,Mount Alexander,19750
607,2019,4 Western,Moyne,16951
608,2019,2 Eastern,Murrindindi,14567
609,2019,1 North West Metro,Nillumbik,65098
610,2019,4 Western,Northern Grampians,11400
611,2019,3 Southern Metro,Port Phillip,115619
612,2019,4 Western,Pyrenees,7469
613,2019,4 Western,Queenscliffe,2938
614,2019,2 Eastern,South Gippsland,29909
615,2019,4 Western,Southern Grampians,16097
616,2019,3 Southern Metro,Stonnington,117775
617,2019,2 Eastern,Strathbogie,10777
618,2019,4 Western,Surf Coast,33456
619,2019,4 Western,Swan Hill,20649
620,2019,2 Eastern,Towong,6038
621,2019,2 Eastern,Wangaratta,29183
622,2019,4 Western,Warrnambool,35180
623,2019,2 Eastern,Wellington,44377
624,2019,4 Western,West Wimmera,3838
625,2019,2 Eastern,Whitehorse,178778
626,2019,1 North West Metro,Whittlesea,230296
627,2019,2 Eastern,Wodonga,42082
628,2019,1 North West Metro,Wyndham,270606
629,2019,1 North West Metro,Yarra,101515
630,2019,2 Eastern,Yarra Ranges,159473
631,2019,4 Western,Yarriambiack,6636
632,2020,2 Eastern,Alpine,12972
633,2020,4 Western,Ararat,11964
634,2020,4 Western,Ballarat,111360
635,2020,1 North West Metro,Banyule,131939
636,2020,2 Eastern,Bass Coast,37444
637,2020,2 Eastern,Baw Baw,54883
638,2020,3 Southern Metro,Bayside,107540
639,2020,2 Eastern,Benalla,14136
640,2020,2 Eastern,Boroondara,183022
641,2020,1 North West Metro,Brimbank,208246
642,2020,4 Western,Buloke,6100
643,2020,4 Western,Campaspe,37674
644,2020,3 Southern Metro,Cardinia,116192
645,2020,3 Southern Metro,Casey,364599
646,2020,4 Western,Central Goldfields,13091
647,2020,4 Western,Colac-Otway,21661
648,2020,4 Western,Corangamite,15928
649,2020,1 North West Metro,Darebin,166429
650,2020,2 Eastern,East Gippsland,47724
651,2020,3 Southern Metro,Frankston,143337
652,2020,4 Western,Gannawarra,10399
653,2020,3 Southern Metro,Glen Eira,158215
654,2020,4 Western,Glenelg,19620
655,2020,4 Western,Golden Plains,24248
656,2020,4 Western,Greater Bendigo,119979
657,2020,3 Southern Metro,Greater Dandenong,168361
658,2020,4 Western,Greater Geelong,264865
659,2020,2 Eastern,Greater Shepparton,67069
