,Year,Local Government Area,Total Population
414,2017,Frankston,140717
415,2017,Gannawarra,10568
416,2017,Glen Eira,151456
417,2017,Glenelg,19691
418,2017,Golden Plains,22567
419,2017,Greater Bendigo,114090
420,2017,Greater Dandenong,163517
421,2017,Greater Geelong,245727
422,2017,Greater Shepparton,65553
423,2017,Hepburn,15628
424,2017,Hindmarsh,5717
425,2017,Hobsons Bay,95070
426,2017,Horsham,19884
427,2017,Hume,215237
428,2017,Indigo,16332
429,2017,Kingston,161050
430,2017,Knox,161826
431,2017,Latrobe,74907
432,2017,Loddon,7506
433,2017,Macedon Ranges,48421
434,2017,Manningham,124269
435,2017,Mansfield,8795
436,2017,Maribyrnong,89361
437,2017,Maroondah,116320
438,2017,Melbourne,159140
439,2017,Melton,148617
440,2017,Mildura,55141
441,2017,Mitchell,42902
442,2017,Moira,29651
443,2017,Monash,196921
444,2017,Moonee Valley,125410
445,2017,Moorabool,33441
446,2017,Moreland,176973
447,2017,Mornington Peninsula,163833
448,2017,Mount Alexander,19296
449,2017,Moyne,16792
450,2017,Murrindindi,14233
451,2017,Nillumbik,64617
452,2017,Northern Grampians,11516
453,2017,Port Phillip,110655
454,2017,Pyrenees,7357
455,2017,Queenscliffe,2958
456,2017,South Gippsland,29320
457,2017,Southern Grampians,16122
458,2017,Stonnington,113771
459,2017,Strathbogie,10483
460,2017,Surf Coast,31346
461,2017,Swan Hill,20846
462,2017,Towong,6038
463,2017,Wangaratta,28852
464,2017,Warrnambool,34568
465,2017,Wellington,43800
466,2017,West Wimmera,3893
467,2017,Whitehorse,173262
468,2017,Whittlesea,215685
469,2017,Wodonga,40811
470,2017,Wyndham,241070
471,2017,Yarra,95993
472,2017,Yarra Ranges,156868
473,2017,Yarriambiack,6683
474,2018,Alpine,12729
475,2018,Ararat,11794
476,2018,Ballarat,107323
477,2018,Banyule,130249
478,2018,Bass Coast,35325
479,2018,Baw Baw,52011
480,2018,Bayside,105744
481,2018,Benalla,14022
482,2018,Boroondara,181375
483,2018,Brimbank,208743
484,2018,Buloke,6182
485,2018,Campaspe,37589
486,2018,Cardinia,107116
487,2018,Casey,340442
488,2018,Central Goldfields,13207
489,2018,Colac-Otway,21501
490,2018,Corangamite,16138
491,2018,Darebin,161652
492,2018,East Gippsland,46815
493,2018,Frankston,141846
494,2018,Gannawarra,10545
495,2018,Glen Eira,153919
496,2018,Glenelg,19663
497,2018,Golden Plains,23117
498,2018,Greater Bendigo,116040
499,2018,Greater Dandenong,166139
500,2018,Greater Geelong,252228
501,2018,Greater Shepparton,66007
502,2018,Hepburn,15811
503,2018,Hindmarsh,5643
504,2018,Hobsons Bay,96480
505,2018,Horsham,19873
506,2018,Hume,224422
507,2018,Indigo,16488
508,2018,Kingston,163451
509,2018,Knox,163211
510,2018,Latrobe,75208
511,2018,Loddon,7512
512,2018,Macedon Ranges,49386
513,2018,Manningham,125534
514,2018,Mansfield,8978
515,2018,Maribyrnong,91412
516,2018,Maroondah,117504
517,2018,Melbourne,170316
518,2018,Melton,156717
519,2018,Mildura,55515
520,2018,Mitchell,44297
521,2018,Moira,29796
522,2018,Monash,200211
523,2018,Moonee Valley,127905
524,2018,Moorabool,34155
525,2018,Moreland,181779
526,2018,Mornington Peninsula,165822
527,2018,Mount Alexander,19513
528,2018,Moyne,16886
529,2018,Murrindindi,14477
530,2018,Nillumbik,64940
